department,commodity_desc,week_no,weekly_sales_value
DELI,DELI SPECIALTIES (RETAIL PK),36,16.54
DELI,DELI SPECIALTIES (RETAIL PK),37,34.6
DELI,DELI SPECIALTIES (RETAIL PK),38,30.03
DELI,DELI SPECIALTIES (RETAIL PK),39,18.52
DELI,DELI SPECIALTIES (RETAIL PK),40,9.06
DELI,DELI SPECIALTIES (RETAIL PK),41,12.79
DELI,DELI SPECIALTIES (RETAIL PK),42,9.77
DELI,DELI SPECIALTIES (RETAIL PK),43,17.64
DELI,DELI SPECIALTIES (RETAIL PK),44,7.86
DELI,DELI SPECIALTIES (RETAIL PK),45,9.65
DELI,DELI SPECIALTIES (RETAIL PK),46,15.76
DELI,DELI SPECIALTIES (RETAIL PK),47,10.57
DELI,DELI SPECIALTIES (RETAIL PK),48,7.38
DELI,DELI SPECIALTIES (RETAIL PK),49,6.96
DELI,DELI SPECIALTIES (RETAIL PK),50,12.15
DELI,DELI SPECIALTIES (RETAIL PK),51,7.95
DELI,DELI SPECIALTIES (RETAIL PK),52,8.27
DELI,DELI SPECIALTIES (RETAIL PK),53,2.89
DELI,DELI SPECIALTIES (RETAIL PK),54,11.27
DELI,DELI SPECIALTIES (RETAIL PK),55,13.06
DELI,DELI SPECIALTIES (RETAIL PK),56,13.75
DELI,DELI SPECIALTIES (RETAIL PK),57,3.18
DELI,DELI SPECIALTIES (RETAIL PK),58,10.95
DELI,DELI SPECIALTIES (RETAIL PK),59,12.86
DELI,DELI SPECIALTIES (RETAIL PK),60,10.92
DELI,DELI SPECIALTIES (RETAIL PK),61,15.95
DELI,DELI SPECIALTIES (RETAIL PK),62,9.67
DELI,DELI SPECIALTIES (RETAIL PK),63,12.25
DELI,DELI SPECIALTIES (RETAIL PK),64,2.89
DELI,DELI SPECIALTIES (RETAIL PK),65,14.81
DELI,DELI SPECIALTIES (RETAIL PK),66,1.18
DELI,DELI SPECIALTIES (RETAIL PK),67,0.59
DELI,DELI SPECIALTIES (RETAIL PK),68,9.77
DELI,DELI SPECIALTIES (RETAIL PK),69,9.57
DELI,DELI SPECIALTIES (RETAIL PK),70,15.45
DELI,DELI SPECIALTIES (RETAIL PK),71,13.66
DELI,DELI SPECIALTIES (RETAIL PK),72,3.48
DELI,DELI SPECIALTIES (RETAIL PK),73,15.26
DELI,DELI SPECIALTIES (RETAIL PK),74,5.28
DELI,DELI SPECIALTIES (RETAIL PK),75,12.03
DELI,DELI SPECIALTIES (RETAIL PK),76,16.54
DELI,DELI SPECIALTIES (RETAIL PK),77,17.44
DELI,DELI SPECIALTIES (RETAIL PK),78,14.45
DELI,DELI SPECIALTIES (RETAIL PK),79,6.68
DELI,DELI SPECIALTIES (RETAIL PK),80,16.23
DELI,DELI SPECIALTIES (RETAIL PK),81,5.87
DELI,DELI SPECIALTIES (RETAIL PK),82,5.28
DELI,DELI SPECIALTIES (RETAIL PK),83,11.97
DELI,DELI SPECIALTIES (RETAIL PK),84,0.59
DELI,DELI SPECIALTIES (RETAIL PK),85,16.06
DELI,DELI SPECIALTIES (RETAIL PK),86,3.79
DELI,DELI SPECIALTIES (RETAIL PK),87,8.37
DELI,DELI SPECIALTIES (RETAIL PK),88,7.47
DELI,DELI SPECIALTIES (RETAIL PK),89,11.27
DELI,DELI SPECIALTIES (RETAIL PK),90,3.99
DELI,DELI SPECIALTIES (RETAIL PK),91,22.42
DELI,DELI SPECIALTIES (RETAIL PK),92,11.97
